municipios,Abobrinha,Beterraba,Chuchu,Jiló,Pimentão,Acelga (Toneladas),Alface (Toneladas),Batata-baroa (mandioquinha) (Toneladas),Batata-doce (Toneladas),Couve (Toneladas),Espinafre (Toneladas),Morango (Toneladas),Repolho (Toneladas),Rúcula (Toneladas),Tomate (estaqueado) (Toneladas)
Abadia dos Dourados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abaeté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abre Campo,0,0,0,1,0,0,22,0,0,7,0,0,1,0,1
Acaiaca,0,0,1,1,0,0,3,0,0,3,0,0,1,0,0
Açucena,1,0,1,0,0,0,3,0,0,1,0,0,1,0,0
Água Boa,16,8,7,10,3,0,19,1,3,7,0,0,11,1,1324
Água Comprida,0,0,0,2,0,0,15,0,0,0,0,0,0,2,0
Aguanil,4,1,0,4,2,0,8,0,0,1,0,0,3,0,0
Águas Formosas,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Águas Vermelhas,1,2,0,0,5,0,15,0,1,3,0,0,0,0,0
Aimorés,2,0,0,3,49,0,6,0,0,4,0,0,0,0,839
Aiuruoca,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alagoa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Albertina,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
Além Paraíba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfenas,46,26,69,47,6,35,316,0,4,73,4,0,44,19,148
Alfredo Vasconcelos,104,0,0,39,378,0,30,0,0,0,0,1780,700,0,1490
Almenara,2,1,0,0,5,0,27,0,1,6,0,0,0,0,0
Alpercata,12,0,0,120,0,0,0,0,5,3,0,0,0,0,10
Alpinópolis,41,11,0,32,1,0,60,0,0,5,0,0,11,5,0
Alterosa,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0
Alto Caparaó,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0
Alto Rio Doce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alvarenga,0,0,0,2,0,0,9,0,0,3,0,0,0,0,0
Alvinópolis,0,0,0,0,1,0,28,0,0,6,2,0,3,1,0
Alvorada de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amparo do Serra,0,0,0,1,0,0,10,0,0,6,0,0,1,0,268
Andradas,382,487,0,0,0,0,645,176,470,126,2,0,22,7,3130
Cachoeira de Pajeú,3,8,14,5,2,0,21,0,4,8,0,0,8,3,5
Andrelândia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelândia,14,6,2,9,11,0,4,0,4,1,0,0,21,0,48
Antônio Carlos,63,15,0,19,109,0,3,0,6,1,0,527,1528,0,994
Antônio Dias,0,0,0,18,0,0,17,0,0,5,0,0,4,0,36
Araçaí,506,0,0,122,0,0,0,0,0,1,0,0,0,0,0
Aracitaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araçuaí,7,7,0,1,7,0,16,0,5,6,0,0,3,0,79
Araguari,1039,0,0,1063,943,24,697,0,0,141,4,0,26,19,32456
Arantina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Araponga,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0
Araporã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapuá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295
Araújos,0,0,0,0,0,0,72,0,0,1,0,0,0,0,0
Araxá,6,0,0,44,5,7,326,0,0,42,6,0,25,18,18
Arceburgo,9,0,20,13,0,0,34,0,0,5,0,0,23,0,0
Arcos,0,0,0,0,0,0,22,0,0,7,0,0,0,0,630
Areado,0,0,0,0,0,0,17,0,0,1,0,0,1,0,0
Argirita,0,0,0,54,0,0,1,0,0,1,0,0,0,0,0
Aricanduva,3,4,4,1,4,0,9,0,3,3,0,0,17,0,0
Arinos,4,0,0,12,5,0,41,0,0,2,0,0,0,0,5
Astolfo Dutra,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Ataléia,1,1,0,2,0,0,9,0,1,24,0,0,1,0,15
Augusto de Lima,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Baependi,0,2,0,1,1,0,23,0,0,2,0,0,2,0,0
Baldim,414,0,0,202,160,0,30,0,0,2,0,0,0,0,1342
Bambuí,354,1,2,4,0,0,47,0,0,7,0,0,38,2,11
Bandeira,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0
Bandeira do Sul,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Barão de Cocais,0,1,0,0,0,0,8,0,0,4,0,0,0,0,0
Barão do Monte Alto,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Barbacena,901,152,39,606,1378,0,546,42,35,222,11,607,5199,2,9042
Barra Longa,0,1,3,1,0,0,12,0,1,7,0,0,1,0,1
Barroso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bela Vista de Minas,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0
Belmiro Braga,1,0,1,1,0,0,2,0,0,1,0,0,1,0,0
Belo Horizonte,0,1,3,0,0,0,127,0,0,11,1,0,0,5,0
Belo Oriente,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
Belo Vale,0,0,0,22,10,0,10,0,0,5,0,0,0,0,5
Berilo,3,2,1,0,0,0,11,0,5,8,0,0,3,0,1
Bertópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berizal,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Betim,27,13,25,11,12,73,763,0,11,189,40,0,137,198,150
Bias Fortes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biquinhas,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
Boa Esperança,8,2,5,7,0,1,1295,0,3,18,1,0,24,3,1
Bocaina de Minas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bocaiúva,104,25,322,15,35,0,95,0,5,45,2,0,16,5,161
Bom Despacho,63,2,0,51,0,0,22,0,0,5,0,0,10,0,0
Bom Jardim de Minas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bom Jesus da Penha,0,0,0,4,10,0,2,0,0,0,0,0,0,0,40
Bom Jesus do Amparo,0,0,0,1,0,0,268,0,0,4,0,0,3,0,0
Bom Jesus do Galho,1,0,0,1,203,0,4,0,0,1,0,0,0,0,0
Bom Repouso,0,0,0,0,0,0,0,0,0,0,0,15444,0,0,57
Bom Sucesso,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bonfim,35,0,0,26,39,0,0,0,21,0,0,0,0,0,0
Bonfinópolis de Minas,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Bonito de Minas,0,0,0,0,0,0,10,0,0,2,0,0,0,0,1
Borda da Mata,21,0,0,4,0,0,123,0,0,14,0,328,15,12,75
Botelhos,15,0,0,0,0,0,1,0,0,0,0,0,0,0,28
Botumirim,1,1,1,0,1,0,6,0,1,1,0,0,1,0,18
Brasilândia de Minas,0,0,0,3,0,0,7,0,0,1,0,0,0,0,0
Brasília de Minas,0,1,0,0,1,0,4,0,0,2,0,0,0,0,2
Brás Pires,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Braúnas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazópolis,3,3,1,1,74,0,6,0,2,16,1,15,2,0,28
Brumadinho,273,8,1965,651,374,154,985,0,1,336,418,0,14,108,241
Bueno Brandão,202,0,19,0,0,0,16,219,0,1,0,1887,0,0,6
Buenópolis,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Bugre,32,0,0,108,9,0,0,0,0,0,0,0,0,0,1310
Buritis,2,1,0,40,0,0,40,0,0,12,0,0,0,1,26
Buritizeiro,0,0,0,0,1,0,20,0,0,6,0,0,0,0,3
Cabeceira Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,1,0,0,0,0,0,9,0,0,2,0,0,1,0,0
Cachoeira da Prata,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Cachoeira de Minas,33,0,22,10,486,0,31,0,0,12,0,1402,2,0,184
Cachoeira Dourada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caetanópolis,21,1,0,1,4,0,67,0,0,7,0,0,2,0,13
Caeté,1,4,2,1,1,81,530,0,0,70,70,0,3,47,0
Caiana,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0
Cajuri,2,2,0,13,35,0,6,0,0,12,0,0,16,0,1589
Caldas,1423,0,0,0,0,2,43,1955,280,37,0,46,69,0,41
Camanducaia,8,1,0,0,10,0,11,0,0,2,0,0,5,1,90
Cambuí,58,0,8,23,70,7,98,0,1,31,2,2889,98,4,150
Cambuquira,0,0,0,0,0,0,28,0,0,0,0,0,0,0,96
Campanário,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0
Campanha,0,0,0,4,16,0,13,0,0,1,0,0,0,0,0
Campestre,121,0,0,0,17,0,40,0,0,15,0,0,0,0,695
Campina Verde,9,1,0,13,0,0,56,0,0,5,0,0,1,3,1
Campo Azul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campo Belo,14,3,0,2,0,0,38,0,0,1,0,0,1,0,0
Campo do Meio,61,1,1,1,0,0,13,0,0,2,0,0,1,0,0
Campo Florido,21,1,0,35,0,0,31,0,1,7,0,0,0,3,0
Campos Altos,0,2654,0,0,0,0,0,0,0,0,0,0,0,0,0
Campos Gerais,51,4,1,3,2,0,753,0,1,51,0,0,26,1,2780
Canaã,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canápolis,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0
Candeias,10,0,0,6,1,0,14,0,0,1,0,0,12,0,273
Cantagalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Caparaó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capela Nova,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
Capelinha,52,26,36,16,36,0,57,0,10,14,1,1,57,2,2185
Capetinga,2,0,0,0,0,0,16,0,0,2,0,0,0,0,0
Capim Branco,7,9,4,10,7,0,186,0,14,90,9,0,18,62,16
